TagID,Date,Time,accX,accY,accZ,Temp. (?C),Metadata
3_S4,04/05/2023,14:49:14.800,-0.063,0.109,1.016,,
3_S4,04/05/2023,14:49:14.900,-0.078,0.109,0.985,,
3_S4,04/05/2023,14:49:15.000,-0.109,0.109,0.969,,
3_S4,04/05/2023,14:49:15.100,-0.067,0.123,0.997,,
3_S4,04/05/2023,14:49:15.200,-0.088,0.138,0.988,,
3_S4,04/05/2023,14:49:15.300,-0.105,0.119,0.985,,
3_S4,04/05/2023,14:49:15.400,-0.091,0.128,0.985,,
3_S4,04/05/2023,14:49:15.500,-0.094,0.125,0.977,,
3_S4,04/05/2023,14:49:15.600,-0.103,0.116,0.982,,
3_S4,04/05/2023,14:49:15.700,-0.094,0.116,0.991,,
3_S4,04/05/2023,14:49:15.800,-0.094,0.094,0.972,,
3_S4,04/05/2023,14:49:15.900,-0.094,0.094,0.985,,
3_S4,04/05/2023,14:49:16.000,-0.047,0.109,1.032,,
3_S4,04/05/2023,14:49:16.100,-0.094,0.109,1.000,,
3_S4,04/05/2023,14:49:16.200,-0.109,0.078,1.000,,
3_S4,04/05/2023,14:49:16.300,-0.016,0.109,1.032,,
3_S4,04/05/2023,14:49:16.400,-0.078,0.094,0.985,,
3_S4,04/05/2023,14:49:16.500,-0.078,0.125,1.016,,
3_S4,04/05/2023,14:49:16.600,-0.063,0.094,1.000,,
3_S4,04/05/2023,14:49:16.700,-0.094,0.094,1.000,,
3_S4,04/05/2023,14:49:16.800,-0.078,0.078,1.016,,
3_S4,04/05/2023,14:49:16.900,-0.063,0.094,1.032,,
3_S4,04/05/2023,14:49:17.000,-0.109,0.125,0.953,22,
3_S4,04/05/2023,14:49:17.100,-0.094,0.141,0.969,,
3_S4,04/05/2023,14:49:17.200,-0.109,0.141,0.969,,
3_S4,04/05/2023,14:49:17.300,-0.078,0.141,0.969,,
3_S4,04/05/2023,14:49:17.400,-0.078,0.141,0.985,,
3_S4,04/05/2023,14:49:17.500,-0.109,0.156,0.969,,
3_S4,04/05/2023,14:49:17.600,-0.125,0.141,1.000,,
3_S4,04/05/2023,14:49:17.700,-0.094,0.125,0.985,,
3_S4,04/05/2023,14:49:17.800,-0.109,0.125,0.985,,
3_S4,04/05/2023,14:49:17.900,-0.094,0.141,0.985,,
3_S4,04/05/2023,14:49:18.000,-0.094,0.094,1.000,,
3_S4,04/05/2023,14:49:18.100,-0.094,0.125,1.000,,
3_S4,04/05/2023,14:49:18.200,-0.109,0.125,0.969,,
3_S4,04/05/2023,14:49:18.300,-0.094,0.094,0.985,,
