TagID,Date,Time,accX,accY,accZ,Temp. (?C),Metadata
1_S4,09/05/2023,09:33:42.100,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:42.200,0.016,0.031,1.047,,
1_S4,09/05/2023,09:33:42.300,0.000,0.031,1.016,,
1_S4,09/05/2023,09:33:42.400,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:42.500,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:42.600,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:42.700,0.016,0.047,1.032,,
1_S4,09/05/2023,09:33:42.800,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:42.900,0.000,0.031,1.032,,
1_S4,09/05/2023,09:33:43.000,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:43.100,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:43.200,0.013,0.031,1.016,,
1_S4,09/05/2023,09:33:43.300,0.009,0.031,1.016,,
1_S4,09/05/2023,09:33:43.400,0.025,0.031,1.022,,
1_S4,09/05/2023,09:33:43.500,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:43.600,0.016,0.022,1.022,,
1_S4,09/05/2023,09:33:43.700,0.016,0.027,1.027,,
1_S4,09/05/2023,09:33:43.800,0.016,0.031,1.019,,
1_S4,09/05/2023,09:33:43.900,0.016,0.016,1.032,,
1_S4,09/05/2023,09:33:44.000,0.000,0.031,1.032,22,
1_S4,09/05/2023,09:33:44.100,0.031,0.031,1.032,,
1_S4,09/05/2023,09:33:44.200,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:44.300,0.000,0.031,1.016,,
1_S4,09/05/2023,09:33:44.400,0.016,0.016,1.032,,
1_S4,09/05/2023,09:33:44.500,0.031,0.016,1.016,,
1_S4,09/05/2023,09:33:44.600,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:44.700,0.016,0.047,1.032,,
1_S4,09/05/2023,09:33:44.800,0.031,0.016,1.016,,
1_S4,09/05/2023,09:33:44.900,0.016,0.016,1.047,,
1_S4,09/05/2023,09:33:45.000,0.016,0.016,1.032,,
1_S4,09/05/2023,09:33:45.100,0.016,0.031,1.000,,
1_S4,09/05/2023,09:33:45.200,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:45.300,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:45.400,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:45.500,0.016,0.016,1.032,,
1_S4,09/05/2023,09:33:45.600,0.031,0.031,1.032,,
1_S4,09/05/2023,09:33:45.700,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:45.800,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:45.900,0.031,0.031,1.016,,
1_S4,09/05/2023,09:33:46.000,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:46.100,0.031,0.031,1.047,,
1_S4,09/05/2023,09:33:46.200,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:46.300,0.016,0.016,1.016,,
1_S4,09/05/2023,09:33:46.400,0.016,0.016,1.016,,
1_S4,09/05/2023,09:33:46.500,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:46.600,0.000,0.031,1.032,,
1_S4,09/05/2023,09:33:46.700,0.000,0.031,1.016,,
1_S4,09/05/2023,09:33:46.800,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:46.900,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:47.000,0.000,0.031,1.032,,
1_S4,09/05/2023,09:33:47.100,0.016,0.031,1.000,,
1_S4,09/05/2023,09:33:47.200,0.016,0.031,1.032,,
1_S4,09/05/2023,09:33:47.300,0.000,0.031,1.032,,
1_S4,09/05/2023,09:33:47.400,0.000,0.047,1.000,,
1_S4,09/05/2023,09:33:47.500,0.000,0.031,1.000,,
1_S4,09/05/2023,09:33:47.600,0.016,0.016,1.032,,
1_S4,09/05/2023,09:33:47.700,0.016,0.016,1.032,,
1_S4,09/05/2023,09:33:47.800,0.016,0.031,1.016,,
1_S4,09/05/2023,09:33:47.900,0.016,0.031,1.000,,
1_S4,09/05/2023,09:33:47.000,0.000,0.000,0.000,22,Power off command received.
